ExpansionFactor,1,1.01333,1.02667,1.04
Radius0,4.17288,4.20125,6.87206,1.28071
Radius1,3.68926,4.32494,3.37884,1.07533
Radius2,3.57241,4.34503,3.33539,1.60064
Radius3,3.38205,4.24847,2.84119,1.28996
Radius4,3.44989,4.22024,2.62842,0.873349
Radius5,3.30625,4.1567,2.3891,1.27241
Radius6,3.50555,4.10581,2.10104,0.93452
Radius7,3.48772,4.03698,2.15551,1.06424
Radius8,3.40301,3.96562,2.01212,1.00572
Radius9,3.40062,3.92753,1.91452,0.826201
Radius10,3.44186,3.88639,1.75963,0.770296
Radius11,3.33188,3.83709,1.70563,0.855968
Radius12,3.32951,3.75776,1.61738,0.906012
Radius13,3.24063,3.68596,1.67916,0.986528
Radius14,3.26981,3.65476,1.54609,0.89298
Radius15,3.18381,3.57001,1.44526,0.95183
Radius16,3.18472,3.50405,1.48399,0.991627
Radius17,3.1502,3.45366,1.4033,0.960461
Radius18,3.10444,3.36909,1.36063,0.836763
Radius19,3.06001,3.31896,1.27673,0.967785
Radius20,2.98611,3.29446,1.2102,0.981292
Radius21,2.9651,3.2064,1.25743,0.869953
Radius22,2.94296,3.14398,1.16086,0.951125
Radius23,2.89108,3.1014,1.23506,0.950488
Radius24,2.88768,3.06203,1.14335,0.941344
Radius25,2.81619,3.01748,1.12163,0.974616
Radius26,2.78701,2.95451,1.05545,0.903676
Radius27,2.7725,2.91916,1.06249,0.946654
Radius28,2.73569,2.85481,1.00518,0.917086
Radius29,2.70512,2.7839,1.03505,0.939675
Radius30,2.66678,2.74181,1.04381,0.964086
Radius31,2.61508,2.65651,0.918893,0.889438
Radius32,2.56801,2.60132,1.03878,0.92111
Radius33,2.5378,2.54499,0.938332,0.863518
Radius34,2.49944,2.48312,0.96187,0.913068
Radius35,2.45072,2.44269,0.963065,0.931539
Radius36,2.44817,2.38335,0.952215,0.909526
Radius37,2.39559,2.31867,0.906158,0.88851
Radius38,2.36869,2.28006,0.924265,0.903472
Radius39,2.31638,2.27974,0.936855,0.91859
Radius40,2.26274,2.207,0.900538,0.932831
Radius41,2.21176,2.14597,0.847949,0.889903
Radius42,2.19985,2.10991,0.884552,0.92173
Radius43,2.15223,2.04702,0.892624,0.914745
Radius44,2.11998,2.02572,0.846485,0.895943
Radius45,2.07908,1.96665,0.876791,0.912989
Radius46,2.02979,1.94769,0.871346,0.908503
Radius47,1.99036,1.90143,0.877123,0.938169
Radius48,1.983,1.85886,0.831657,0.910206
Radius49,1.90434,1.84372,0.825337,0.980484
Radius50,1.87383,1.77629,0.829,0.863112
Radius51,1.85893,1.76569,0.869233,0.93626
Radius52,1.84492,1.70087,0.9151,0.897172
Radius53,1.7664,1.6528,0.910933,0.921272
Radius54,1.7121,1.60125,0.914482,0.898048
Radius55,1.68692,1.56865,0.903637,0.880778
Radius56,1.6659,1.5483,0.88941,0.911528
Radius57,1.62404,1.53292,0.891773,0.876858
Radius58,1.58828,1.47232,0.868002,0.954481
Radius59,1.56283,1.43456,0.881017,0.924055
Radius60,1.50924,1.39493,0.86593,0.892159
Radius61,1.47374,1.38956,0.9115,0.933133
Radius62,1.44629,1.35042,0.897997,0.89519
Radius63,1.40939,1.29813,0.905108,0.902033
Radius64,1.37931,1.29416,0.879379,0.921375
Radius65,1.33969,1.24054,0.924941,0.919568
Radius66,1.28914,1.23448,0.909566,0.902923
Radius67,1.28913,1.18182,0.890797,0.907784
Radius68,1.2466,1.17094,0.907363,0.898993
Radius69,1.18414,1.15859,0.907971,0.909324
Radius70,1.16914,1.09687,0.911133,0.940825
Radius71,1.14442,1.09162,0.920707,0.9309
Radius72,1.13843,1.05212,0.915039,0.90695
Radius73,1.075,1.03858,0.90205,0.925245
Radius74,1.06517,1.00186,0.934725,0.92351
Radius75,1.01051,0.973077,0.915789,0.908604
Radius76,1.01381,0.940197,0.933511,0.936712
Radius77,0.946576,0.90834,0.914893,0.935841
Radius78,0.920059,0.9172,0.929431,0.924348
Radius79,0.892125,0.854539,0.924451,0.891711
Radius80,0.890778,0.838459,0.934151,0.911838
Radius81,0.875337,0.841312,0.939231,0.884007
Radius82,0.780561,0.828341,0.939772,0.931404
Radius83,0.798741,0.766556,0.899948,0.917867
Radius84,0.758287,0.792431,0.928702,0.888823
Radius85,0.727509,0.751764,0.941611,0.908866
Radius86,0.732299,0.742539,0.926741,0.906976
Radius87,0.686147,0.673848,0.927113,0.913135
Radius88,0.661199,0.692027,0.925235,0.922841
Radius89,0.650715,0.693043,0.914013,0.92989
Radius90,0.613038,0.661733,0.906884,0.917074
Radius91,0.604937,0.63916,0.911442,0.922963
Radius92,0.56757,0.629784,0.910447,0.903684
Radius93,0.538811,0.622426,0.913487,0.92104
Radius94,0.5279,0.602279,0.930333,0.937657
Radius95,0.5075,0.580275,0.911379,0.91105
Radius96,0.506194,0.584972,0.893684,0.926999
Radius97,0.488063,0.583422,0.913834,0.923887
Radius98,0.468644,0.531254,0.911283,0.925144
Radius99,0.447769,0.521001,0.908994,0.898947
